url,model,color,door_count,nr_seats,year,fuel_type,engine_capacity,engine_power,body_type,gearbox,transmission,mileage,new_used,has_registration,electric_power_peak,system_performance_of_hybrid_driveline_in_hp,number_engines,price,seller_type,equipment,model_trim
https://www.otomoto.pl/osobowe/oferta/toyota-c-hr-ID6J1aA1.html,C-HR,Czarny,5.0,5.0,2024,Hybryda,17983.0,140.0,SUV,Automatyczna,Na przednie koła,41200.0,Używany,Tak,95.0,140.0,1.0,119800,Autoryzowany Dealer,"[""Kamera parkowania tył"", ""Klimatyzacja automatyczna: dwustrefowa"", ""Tempomat adaptacyjny ACC""]",C-HR_Style
https://www.otomoto.pl/osobowe/oferta/toyota-corolla-ID6J2bB2.html,Corolla,Biały,5.0,5.0,2022,Hybryda,17983.0,122.0,Kombi,Automatyczna,Na przednie koła,88500.0,Używany,Tak,72.0,122.0,1.0,94200,Firma,"[""Apple CarPlay"", ""Android Auto"", ""Interfejs Bluetooth"", ""Klimatyzacja automatyczna"", ""Kierownica skórzana""]",Corolla_Comfort
https://www.otomoto.pl/osobowe/oferta/toyota-camry-ID6J3cC3.html,Camry,Srebrny,4.0,5.0,2023,Hybryda,24873.0,218.0,Sedan,Automatyczna,Na przednie koła,104300.0,Używany,Tak,,218.0,,151000,Autoryzowany Dealer,"[""Skórzana tapicerka"", ""Podgrzewane fotele"", ""System nawigacji satelitarnej"", ""Czujnik deszczu""]",Camry_Executive
https://www.otomoto.pl/osobowe/oferta/toyota-avensis-ID6J4dD4.html,Avensis,Szary,4.0,5.0,2016,Benzyna,17983.0,147.0,Sedan,Manualna,Na przednie koła,132000.0,Używany,Tak,,,,59500,Osoba prywatna,"[""Radio"", ""Klimatyzacja manualna"", ""Elektryczne szyby przednie"", ""ABS"", ""ESP""]",Avensis_Premium
https://www.otomoto.pl/osobowe/oferta/toyota-land-cruiser-ID6J5eE5.html,Land Cruiser,Czarny,5.0,5.0,2019,Diesel,27553.0,177.0,SUV,Automatyczna,4x4 (stały),118900.0,Używany,Tak,,,,198000,Firma,"[""Kamera panoramiczna 360"", ""Hak"", ""Blokada mechanizmu różnicowego"", ""Skórzana kierownica""]",Land Cruiser_Executive
https://www.otomoto.pl/osobowe/oferta/toyota-corolla-ID6J6fF6.html,Corolla,Szary,5.0,5.0,2022,Hybryda,17983.0,122.0,Kombi,Automatyczna,Na przednie koła,67400.0,Używany,Tak,72.0,122.0,1.0,73200,Firma,"[""Apple CarPlay"", ""Android Auto"", ""Interfejs Bluetooth"", ""Klimatyzacja automatyczna"", ""Kierownica skórzana""]",Corolla_Comfort
https://www.otomoto.pl/osobowe/oferta/toyota-c-hr-ID6J7gG7.html,C-HR,Srebrny,5.0,5.0,2024,Hybryda,17983.0,140.0,SUV,Automatyczna,Na przednie koła,52300.0,Używany,Tak,95.0,140.0,1.0,61500,Autoryzowany Dealer,"[""Kamera parkowania tył"", ""Klimatyzacja automatyczna: dwustrefowa"", ""Tempomat adaptacyjny ACC""]",C-HR_Style
https://www.otomoto.pl/osobowe/oferta/toyota-camry-ID6J8hH8.html,Camry,Czarny,4.0,5.0,2023,Hybryda,24873.0,218.0,Sedan,Automatyczna,Na przednie koła,79200.0,Używany,Tak,,218.0,,79500,Autoryzowany Dealer,"[""Skórzana tapicerka"", ""Podgrzewane fotele"", ""System nawigacji satelitarnej"", ""Czujnik deszczu""]",Camry_Executive
https://www.otomoto.pl/osobowe/oferta/toyota-avensis-ID6J9iI9.html,Avensis,Czerwony,4.0,5.0,2016,Benzyna,17983.0,147.0,Sedan,Manualna,Na przednie koła,154100.0,Używany,Tak,,,,60200,Osoba prywatna,"[""Radio"", ""Klimatyzacja manualna"", ""Elektryczne szyby przednie"", ""ABS"", ""ESP""]",Avensis_Premium
https://www.otomoto.pl/osobowe/oferta/toyota-land-cruiser-ID6K1aA1.html,Land Cruiser,Biały,5.0,5.0,2019,Diesel,27553.0,177.0,SUV,Automatyczna,4x4 (stały),95600.0,Używany,Tak,,,,199500,Firma,"[""Kamera panoramiczna 360"", ""Hak"", ""Blokada mechanizmu różnicowego"", ""Skórzana kierownica""]",Land Cruiser_Executive
https://www.otomoto.pl/osobowe/oferta/toyota-corolla-ID6K2bB2.html,Corolla,Niebieski,5.0,5.0,2022,Hybryda,17983.0,122.0,Kombi,Automatyczna,Na przednie koła,110400.0,Używany,Tak,72.0,122.0,1.0,93800,Firma,"[""Apple CarPlay"", ""Android Auto"", ""Interfejs Bluetooth"", ""Klimatyzacja automatyczna"", ""Kierownica skórzana""]",Corolla_Comfort
https://www.otomoto.pl/osobowe/oferta/toyota-c-hr-ID6K3cC3.html,C-HR,Niebieski,5.0,5.0,2024,Hybryda,17983.0,140.0,SUV,Automatyczna,Na przednie koła,61100.0,Używany,Tak,95.0,140.0,1.0,93600,Autoryzowany Dealer,"[""Kamera parkowania tył"", ""Klimatyzacja automatyczna: dwustrefowa"", ""Tempomat adaptacyjny ACC""]",C-HR_Style
https://www.otomoto.pl/osobowe/oferta/toyota-camry-ID6K4dD4.html,Camry,Szary,4.0,5.0,2023,Hybryda,24873.0,218.0,Sedan,Automatyczna,Na przednie koła,121800.0,Używany,Tak,,218.0,,72400,Autoryzowany Dealer,"[""Skórzana tapicerka"", ""Podgrzewane fotele"", ""System nawigacji satelitarnej"", ""Czujnik deszczu""]",Camry_Executive
